id;reference_url;origin_price;sale_price;tax;total_pay;goods_name;goods_id;goods_sku;jhi_size;quantity;remark;images;images_content_type;source
1;indexing;31910;52243;82891;64454;payment;Organic Granite;SMS;magnetic interface;6535;projection Maldives;506572736f6e616c204c6f616e204163636f756e7420496e7665727365;image/png;AEO_JP
2;Books CSS Holy See (Vatican City State);93906;93258;79878;7002;Garden Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;Practical killer Russian Federation;Adaptive Practical B2C;28723;paradigm Persevering Gorgeous Steel Salad;44617461206f70656e2d736f757263652047656e65726963;image/png;AEO_JP
3;Underpass Personal Loan Account;16703;74335;99116;6498;matrix;deposit Auto Loan Account Avon;Intelligent Cotton Bike;lavender;77958;wireless Generic Frozen Bike EXE;636f6e6e656374205a696d626162776520446f6c6c6172;image/png;AEO_JP
4;Pre-emptive Reduced;53697;3486;59293;89492;SDD Trail;didactic Granite;Tasty Fresh Pizza Jewelery monitoring;Russian Federation Gorgeous ROI;37268;neutral;5461737479206261636b696e672075702043616d6272696467657368697265;image/png;AEO_JP
5;open-source Ouguiya;56573;86449;26702;73390;Seychelles SMTP Synchronised;GB;next-generation Quality-focused Quality;Credit Card Account;75271;Salad;4672657368;image/png;AEO_JP
6;connecting;83213;75663;50746;25868;black;Money Market Account;New York Concrete expedite;Solomon Islands;77984;Gorgeous;6465706f736974204d6f62696c697479;image/png;AEO_JP
7;Baht;6783;94729;30096;16637;bypass hard drive Hollow;Checking Account;SCSI;Technician Architect calculate;13008;navigate Movies;4275636b696e6768616d736869726520636f6d7072657373;image/png;AEO_JP
8;partnerships Terrace Hat;79480;82592;69368;29837;bypassing;Kroon deposit systemic;Liaison Grocery capacitor;applications invoice unleash;27421;Specialist e-services;7061796d656e7420656666696369656e7420525353;image/png;AEO_JP
9;SDD;77659;15365;77092;45369;Saint Martin Kids back-end;Automotive;Orchestrator indigo Manors;Rubber;12518;Ethiopian Birr architectures;48616e64637261667465642052756262657220476c6f766573;image/png;AEO_JP
10;website Curve;1162;46459;7244;68045;grow Orchestrator;multi-state El Salvador Colon US Dollar XSS;Lead sensor bypass;Configurable;98666;Steel Berkshire;4175746f6d6f7469766520617070726f61636820426f7264657273;image/png;AEO_JP
